cp_id,cp_name,switches,notes
brick,Brick,"100,101",West plant / main entrance to West Yard
plane,Plane,102,West diverge / Plane label
west_yard,West Yard,"116,117,117b,118,119",Engine terminal / yard leads — no mainline signals in v1
south_yard,South Yard,"103,104,105,106",South Yard ladder
east_end,East End,"107,108,109,110,111a,111b,112",Includes 111 crossover legs
princess,Princess,"113a,113b,114,115",East plant toward McKees Rocks / McKeesport
