layer,systemName,userName
signalhead,IH1338,West Yard East OS 117b Bottom
signalhead,IH134,Princess East McKeesport
signalhead,IH135,Princess West OS 113b Top
signalhead,IH136,Princess West OS 113b Bottom
signalhead,IH137,Princess West OS 113a Top
signalhead,IH138,Princess West OS 113a Bottom
signalhead,IH139,Princess South McKeesport Top
signalhead,IH140,Princess South McKeesport Bottom
signalhead,IH141,Princess East McKees Rocks
signalhead,IH142,Princess East K-1
signalhead,IH143,Princess East K-2
signalhead,IH432,Plane East East Main Ext Top
signalhead,IH433,Plane East East Main Ext Bottom
signalhead,IH434,Plane East OS 102
signalhead,IH435,spare C4-OU2-4
signalhead,IH436,Brick West Yard 1
signalhead,IH437,Brick West Yard 2
signalhead,IH438,Brick East Main West Top
signalhead,IH439,Brick East Main West Bottom
signalmast,IF$shsm:AAR-1946:SL-1-low(IH1236),East End West Yard Track 1
signalmast,IF$shsm:AAR-1946:SL-1-low(IH1239),East End South OS 110
signalmast,IF$shsm:AAR-1946:SL-1-low(IH1334),West Yard East Yard T6
signalmast,IF$shsm:AAR-1946:SL-1-low(IH134),Princess East McKeesport
signalmast,IF$shsm:AAR-1946:SL-1-low(IH141),Princess East McKees Rocks
signalmast,IF$shsm:AAR-1946:SL-1-low(IH142),Princess East K-1
signalmast,IF$shsm:AAR-1946:SL-1-low(IH143),Princess East K-2
signalmast,IF$shsm:AAR-1946:SL-1-low(IH436),Brick West Yard 1
signalmast,IF$shsm:AAR-1946:SL-1-low(IH437),Brick West Yard 2
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH1232)(IH1233),East End West Main West
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH1234)(IH1235),East End East OS 111a
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH1237)(IH1238),East End East Lead
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH1240)(IH1241),East End South OS 112
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH132)(IH133),Princess North McKees Rocks
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH1332)(IH1333),West Yard West OS 117
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH1335)(IH1336),West Yard West East Main Ext
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH1337)(IH1338),West Yard East OS 117b
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH135)(IH136),Princess West OS 113b
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH137)(IH138),Princess West OS 113a
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH139)(IH140),Princess South McKeesport
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH432)(IH433),Plane East East Main Ext
signalmast,IF$shsm:AAR-1946:SL-1-low(IH434),Plane East OS 102
signalmast,IF$shsm:hart-aar:SL-2-digicon(IH438)(IH439),Brick East Main West
turnout,M2T108,Switch 113
turnout,M2T109,Switch 114
turnout,M2T110,Switch 115
turnout,M2T1208,Switch 107
turnout,M2T1209,Switch 108
turnout,M2T1210,Switch 109
turnout,M2T1211,Switch 110
turnout,M2T1212,Switch 111
turnout,M2T1213,Switch 112
turnout,M2T1308,Switch 117
turnout,M2T1309,Switch 118
turnout,M2T1310,Switch 119
turnout,M2T308,Switch 103
turnout,M2T309,Switch 104
turnout,M2T310,Switch 105
turnout,M2T311,Switch 106
turnout,M2T408,Switch 100
turnout,M2T409,Switch 101
turnout,M2T410,Switch 102
turnout,M2T411,Switch 116
