cp_id,cp_name,switches,notes
brick,Brick,"1,3",Switch 3 is the only access to W-1/2
plane,Plane,5,West diverge; west limit of Scale
barn,Barn,"7,7b",Crossover only
south_yard,South Yard,"15,17,19,21",South Yard ladder
east_end,East End,"25,27,29,31,23a,23b,33",Includes 23 crossover legs
princess,Princess,"35a,35b,37,39",East plant toward McKees Rocks / McKeesport
