# Entry/Exit (NX) pairs: EntrySensor	ExitSensor
# Add these manually in Layout Editor → Tools → Entry Exit → Add Pair
NX EB273	NX EB276
NX EB273	NX EB277
NX EB273	NX EB278
NX EB273	NX EB279
NX EB273	NX EB280
NX EB273	NX EB281
NX EB273	NX EB282
NX EB273	NX EB283
NX EB273	NX EB284
NX EB273	NX EB285
NX EB273	NX EB286
NX EB273	NX EB287
NX EB273	NX EB288
NX EB273	NX EB289
NX EB273	NX EB290
NX EB273	NX EB291
NX EB273	NX EB292
NX EB273	NX EB293
NX EB273	NX EB294
NX EB273	NX EB295
NX EB273	NX EB296
NX EB273	NX EB297
NX EB273	NX EB298
NX EB273	NX EB299
NX EB273	NX EB300
NX EB273	NX EB301
NX EB273	NX EB302
NX EB274	NX EB277
NX EB274	NX EB279
NX EB274	NX EB280
NX EB274	NX EB281
NX EB274	NX EB282
NX EB274	NX EB283
NX EB274	NX EB284
NX EB274	NX EB285
NX EB274	NX EB286
NX EB274	NX EB288
NX EB274	NX EB289
NX EB274	NX EB290
NX EB274	NX EB291
NX EB274	NX EB292
NX EB274	NX EB293
NX EB274	NX EB294
NX EB274	NX EB295
NX EB274	NX EB296
NX EB274	NX EB297
NX EB274	NX EB298
NX EB274	NX EB299
NX EB274	NX EB300
NX EB274	NX EB301
NX EB274	NX EB302
NX EB275	NX EB267
NX EB275	NX EB268
NX EB275	NX EB270
NX EB275	NX EB274
NX EB275	NX EB277
NX EB275	NX EB278
NX EB275	NX EB279
NX EB275	NX EB280
NX EB275	NX EB281
NX EB275	NX EB282
NX EB275	NX EB283
NX EB275	NX EB284
NX EB275	NX EB285
NX EB275	NX EB286
NX EB275	NX EB287
NX EB275	NX EB288
NX EB275	NX EB289
NX EB275	NX EB290
NX EB275	NX EB291
NX EB275	NX EB292
NX EB275	NX EB293
NX EB275	NX EB294
NX EB275	NX EB295
NX EB275	NX EB296
NX EB275	NX EB297
NX EB275	NX EB298
NX EB275	NX EB299
NX EB275	NX EB300
NX EB275	NX EB301
NX EB275	NX EB302
NX EB276	NX EB267
NX EB276	NX EB268
NX EB276	NX EB270
NX EB276	NX EB274
NX EB276	NX EB275
NX EB276	NX EB277
NX EB276	NX EB278
NX EB276	NX EB279
NX EB276	NX EB280
NX EB276	NX EB281
NX EB276	NX EB282
NX EB276	NX EB283
NX EB276	NX EB284
NX EB276	NX EB285
NX EB276	NX EB286
NX EB276	NX EB287
NX EB276	NX EB288
NX EB276	NX EB289
NX EB276	NX EB290
NX EB276	NX EB291
NX EB276	NX EB292
NX EB276	NX EB293
NX EB276	NX EB294
NX EB276	NX EB295
NX EB276	NX EB296
NX EB276	NX EB297
NX EB276	NX EB298
NX EB276	NX EB299
NX EB276	NX EB300
NX EB276	NX EB301
NX EB276	NX EB302
NX EB277	NX EB279
NX EB277	NX EB280
NX EB277	NX EB281
NX EB277	NX EB283
NX EB277	NX EB284
NX EB277	NX EB285
NX EB277	NX EB286
NX EB277	NX EB287
NX EB277	NX EB288
NX EB277	NX EB289
NX EB277	NX EB290
NX EB277	NX EB291
NX EB277	NX EB292
NX EB277	NX EB293
NX EB277	NX EB294
NX EB277	NX EB295
NX EB277	NX EB296
NX EB277	NX EB297
NX EB277	NX EB298
NX EB277	NX EB299
NX EB277	NX EB300
NX EB277	NX EB301
NX EB277	NX EB302
NX EB278	NX EB274
NX EB278	NX EB277
NX EB278	NX EB279
NX EB278	NX EB280
NX EB278	NX EB281
NX EB278	NX EB282
NX EB278	NX EB283
NX EB278	NX EB284
NX EB278	NX EB285
NX EB278	NX EB286
NX EB278	NX EB287
NX EB278	NX EB288
NX EB278	NX EB289
NX EB278	NX EB290
NX EB278	NX EB291
NX EB278	NX EB292
NX EB278	NX EB293
NX EB278	NX EB294
NX EB278	NX EB295
NX EB278	NX EB296
NX EB278	NX EB297
NX EB278	NX EB298
NX EB278	NX EB299
NX EB278	NX EB300
NX EB278	NX EB301
NX EB278	NX EB302
NX EB279	NX EB280
NX EB279	NX EB283
NX EB279	NX EB285
NX EB279	NX EB286
NX EB279	NX EB287
NX EB279	NX EB288
NX EB279	NX EB291
NX EB279	NX EB292
NX EB279	NX EB294
NX EB279	NX EB295
NX EB279	NX EB296
NX EB279	NX EB297
NX EB279	NX EB299
NX EB279	NX EB301
NX EB279	NX EB302
NX EB280	NX EB283
NX EB280	NX EB285
NX EB280	NX EB286
NX EB280	NX EB287
NX EB280	NX EB288
NX EB280	NX EB291
NX EB280	NX EB292
NX EB280	NX EB294
NX EB280	NX EB295
NX EB280	NX EB297
NX EB280	NX EB299
NX EB280	NX EB301
NX EB281	NX EB279
NX EB281	NX EB280
NX EB281	NX EB283
NX EB281	NX EB284
NX EB281	NX EB285
NX EB281	NX EB286
NX EB281	NX EB287
NX EB281	NX EB288
NX EB281	NX EB289
NX EB281	NX EB291
NX EB281	NX EB292
NX EB281	NX EB293
NX EB281	NX EB294
NX EB281	NX EB295
NX EB281	NX EB296
NX EB281	NX EB297
NX EB281	NX EB299
NX EB281	NX EB301
NX EB281	NX EB302
NX EB282	NX EB277
NX EB282	NX EB279
NX EB282	NX EB280
NX EB282	NX EB281
NX EB282	NX EB283
NX EB282	NX EB284
NX EB282	NX EB285
NX EB282	NX EB286
NX EB282	NX EB287
NX EB282	NX EB288
NX EB282	NX EB289
NX EB282	NX EB290
NX EB282	NX EB291
NX EB282	NX EB292
NX EB282	NX EB293
NX EB282	NX EB294
NX EB282	NX EB298
NX EB282	NX EB299
NX EB282	NX EB300
NX EB282	NX EB301
NX EB282	NX EB302
NX EB283	NX EB285
NX EB283	NX EB286
NX EB283	NX EB287
NX EB283	NX EB288
NX EB283	NX EB292
NX EB283	NX EB294
NX EB283	NX EB295
NX EB283	NX EB297
NX EB283	NX EB299
NX EB283	NX EB301
NX EB284	NX EB279
NX EB284	NX EB280
NX EB284	NX EB283
NX EB284	NX EB285
NX EB284	NX EB286
NX EB284	NX EB287
NX EB284	NX EB288
NX EB284	NX EB289
NX EB284	NX EB291
NX EB284	NX EB292
NX EB284	NX EB294
NX EB284	NX EB295
NX EB284	NX EB296
NX EB284	NX EB297
NX EB284	NX EB299
NX EB284	NX EB301
NX EB284	NX EB302
NX EB285	NX EB287
NX EB285	NX EB292
NX EB285	NX EB294
NX EB286	NX EB285
NX EB286	NX EB287
NX EB286	NX EB288
NX EB286	NX EB292
NX EB286	NX EB294
NX EB286	NX EB295
NX EB286	NX EB297
NX EB286	NX EB301
NX EB287	NX EB292
NX EB287	NX EB294
NX EB288	NX EB285
NX EB288	NX EB287
NX EB288	NX EB292
NX EB288	NX EB294
NX EB288	NX EB295
NX EB288	NX EB297
NX EB288	NX EB301
NX EB289	NX EB279
NX EB289	NX EB280
NX EB289	NX EB283
NX EB289	NX EB285
NX EB289	NX EB286
NX EB289	NX EB287
NX EB289	NX EB288
NX EB289	NX EB291
NX EB289	NX EB292
NX EB289	NX EB294
NX EB289	NX EB295
NX EB289	NX EB296
NX EB289	NX EB297
NX EB289	NX EB299
NX EB289	NX EB301
NX EB289	NX EB302
NX EB290	NX EB279
NX EB290	NX EB280
NX EB290	NX EB281
NX EB290	NX EB283
NX EB290	NX EB284
NX EB290	NX EB285
NX EB290	NX EB286
NX EB290	NX EB287
NX EB290	NX EB288
NX EB290	NX EB289
NX EB290	NX EB291
NX EB290	NX EB292
NX EB290	NX EB293
NX EB290	NX EB294
NX EB290	NX EB295
NX EB290	NX EB296
NX EB290	NX EB297
NX EB290	NX EB299
NX EB290	NX EB301
NX EB290	NX EB302
NX EB291	NX EB283
NX EB291	NX EB285
NX EB291	NX EB286
NX EB291	NX EB287
NX EB291	NX EB288
NX EB291	NX EB292
NX EB291	NX EB294
NX EB291	NX EB295
NX EB291	NX EB297
NX EB291	NX EB299
NX EB291	NX EB301
NX EB292	NX EB294
NX EB293	NX EB279
NX EB293	NX EB280
NX EB293	NX EB283
NX EB293	NX EB284
NX EB293	NX EB285
NX EB293	NX EB286
NX EB293	NX EB287
NX EB293	NX EB288
NX EB293	NX EB289
NX EB293	NX EB291
NX EB293	NX EB292
NX EB293	NX EB294
NX EB293	NX EB295
NX EB293	NX EB296
NX EB293	NX EB297
NX EB293	NX EB299
NX EB293	NX EB301
NX EB293	NX EB302
NX EB295	NX EB285
NX EB295	NX EB287
NX EB295	NX EB292
NX EB295	NX EB294
NX EB295	NX EB301
NX EB296	NX EB280
