linear4_layout_ident,linear4_x,linear4_y,live_layout_ident,control_kind,panel_turnout_system,panel_turnout_user,live_internal_system,live_mqtt_system,live_mqtt_user,feedback_sensor1_user,feedback_sensor1_system,feedback_sensor2_user,feedback_sensor2_system,switch_id,dcc_address,match_dx_px,notes
TOL38,200.36,166.35,TOL35299,mqtt,M2T409,MQTT Switch 4-9,,M2T409,MQTT Switch 4-9,Switch 4-2 FB R,M2S473,Switch 4-2 FB N,M2S472,4-9,101,1.5,
TOL42,259.35,180.76,TOL35427,mqtt,M2T410,MQTT Switch 4-10,,M2T410,MQTT Switch 4-10,Switch 4-3 FB R,M2S475,Switch 4-3 FB N,M2S474,4-10,102,115.2,
TOL3,261.79,165.55,TOL35312,mqtt,M2T408,MQTT Switch 4-8,,M2T408,MQTT Switch 4-8,Switch 4-1 FB R,M2S471,Switch 4-1 FB N,M2S470,4-8,100,4.2,
TOR14,455.61,170.61,TOR35239,mqtt,M2T308,MQTT Switch 3-8,,M2T308,MQTT Switch 3-8,Switch 3-1 FB R,M2S368,Switch 3-1 FB N,M2S367,3-8,103,162.9,
TOL15,503.31,179.19,TOL35240,mqtt,M2T309,MQTT Switch 3-9,,M2T309,MQTT Switch 3-9,Switch 3-2 FB R,M2S370,Switch 3-2 FB N,M2S369,3-9,104,160.9,
TOL17,550.79,186.96,TOL35242,mqtt,M2T310,MQTT Switch 3-10,,M2T310,MQTT Switch 3-10,Switch 3-3 FB R,M2S372,Switch 3-3 FB N,M2S371,3-10,105,158.9,
TOL19,598.28,194.74,TOL35244,mqtt,M2T311,MQTT Switch 3-11,,M2T311,MQTT Switch 3-11,Switch 3-4 FB R,M2S374,Switch 3-4 FB N,M2S373,3-11,106,156.9,
TOR11,754.99,194.20,TOR35232,mqtt,M2T1208,MQTT Switch 12-8,,M2T1208,MQTT Switch 12-8,Switch 12-1 FB R,M2S1268,Switch 12-1 FB N,M2S1267,12-8,107,150.1,
TOR9,802.42,186.09,TOR35230,mqtt,M2T1209,MQTT Switch 12-9,,M2T1209,MQTT Switch 12-9,Switch 12-2 FB R,M2S1270,Switch 12-2 FB N,M2S1269,12-9,108,148.0,
TOR31,810.31,161.34,TOR35283,mqtt,M2T1212,MQTT Switch 12-12,,M2T1212,MQTT Switch 12-12,Switch 12-5 FB R,M2S1276,Switch 12-5 FB N,M2S1275,12-12,111,147.6,
TOR32,849.37,169.24,TOR35284,internal_mqtt_fb,IT36,TOR35284,IT36,M2T1212,MQTT Switch 12-12,Switch 12-5 FB R,M2S1276,Switch 12-5 FB N,M2S1275,12-12,111,145.9,Crossover leg; motor MQTT Switch 12-12 (M2T1212)
TOR7,849.85,177.98,TOR35228,mqtt,M2T1210,MQTT Switch 12-10,,M2T1210,MQTT Switch 12-10,Switch 12-3 FB R,M2S1272,Switch 12-3 FB N,M2S1271,12-10,109,145.9,
TOL6,897.49,169.07,TOL35227,mqtt,M2T1211,MQTT Switch 12-11,,M2T1211,MQTT Switch 12-11,Switch 12-4 FB R,M2S1274,Switch 12-4 FB N,M2S1273,12-11,110,143.8,
TOL23,943.64,169.05,TOL35262,mqtt,M2T1213,MQTT Switch 12-13,,M2T1213,MQTT Switch 12-13,Switch 12-6 FB R,M2S1278,Switch 12-6 FB N,M2S1277,12-13,112,141.9,
TOL2,1031.85,168.47,TOL35290,mqtt,M2T108,MQTT Switch 1-8,,M2T108,MQTT Switch 1-8,Switch 1-1 FB R,M2S168,Switch 1-1 FB N,M2S167,1-8,113,138.1,
TOL1,1069.44,160.51,TOL35287,internal_mqtt_fb,IT1,TOL35287,IT1,M2T108,MQTT Switch 1-8,Switch 1-1 FB R,M2S168,Switch 1-1 FB N,M2S167,1-8,113,136.4,Crossover leg; motor MQTT Switch 1-8 (M2T108)
TOR36,1085.42,168.29,TOR35289,mqtt,M2T109,MQTT Switch 1-9,,M2T109,MQTT Switch 1-9,Switch 1-2 FB R,M2S170,Switch 1-2 FB N,M2S169,1-9,114,135.7,
TOL29,1098.85,160.41,TOL35281,mqtt,M2T110,MQTT Switch 1-10,,M2T110,MQTT Switch 1-10,Switch 1-3 FB R,M2S172,Switch 1-3 FB N,M2S171,1-10,115,135.2,
